t=2022-11-29T19:03:59+0000 lvl=info msg="starting web service" obj=web addr=0.0.0.0:4040
t=2022-11-29T19:04:00+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2022-11-29T19:04:00+0000 lvl=info msg="client session established" obj=csess id=07c1d439cd00
t=2022-11-29T19:04:01+0000 lvl=info msg="started tunnel" obj=tunnels name="command_line (http)" addr=http://backend:5111 url=http://f2d3-62-16-0-35.ngrok.io
t=2022-11-29T19:04:01+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://backend:5111 url=https://f2d3-62-16-0-35.ngrok.io
t=2022-11-29T19:05:42+0000 lvl=info msg="join connections" obj=join id=0737855a5678 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:42+0000 lvl=info msg="join connections" obj=join id=8dd279686cc3 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:42+0000 lvl=info msg="join connections" obj=join id=85b50880ac79 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:43+0000 lvl=info msg="join connections" obj=join id=9eab4e6c098d l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:43+0000 lvl=info msg="join connections" obj=join id=0c4509e391fa l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:44+0000 lvl=info msg="join connections" obj=join id=ef533e44b528 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:44+0000 lvl=info msg="join connections" obj=join id=cb034afec1ab l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:45+0000 lvl=info msg="join connections" obj=join id=a58477ec9a67 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:45+0000 lvl=info msg="join connections" obj=join id=41366a9d387b l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:46+0000 lvl=info msg="join connections" obj=join id=cc3dc982cc5c l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:46+0000 lvl=info msg="join connections" obj=join id=71d943aef03b l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:47+0000 lvl=info msg="join connections" obj=join id=ac6094c2d098 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:47+0000 lvl=info msg="join connections" obj=join id=a4529faae6cb l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:47+0000 lvl=info msg="join connections" obj=join id=9dc353f10a6d l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:47+0000 lvl=info msg="join connections" obj=join id=4cffb0262d72 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:48+0000 lvl=info msg="join connections" obj=join id=341fe9fe00f4 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:48+0000 lvl=info msg="join connections" obj=join id=be3138a306f0 l=172.24.0.3:5111 r=34.196.237.253:5910
